Over #,Ball #,Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Class,Outcome,Total Runs ,Delivery Length,Delivery Line,Bowling Side,Delivery Speed,Delivery Type,Shot Type ,Shot Field Position,Hit Type,Ball Type,Out type,Umpire Actions,Field Activity 1 ,Field Activity 2 ,Field Activity 3 ,Other Actions 1,Other Actions 2
15,6,Shaheen Shah Afridi,Devon Conway ,Batsman,Single,1,Short (>9 m),Wide on the off side,Unknown,Unknown,Unknown,Cut,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
16,1,Mohammad Hasnain,Devon Conway ,Batsman,Dot,0,Full Toss (<0 m),Unknown,Unknown,134,Googly,Unknown,Unknown,Outside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
16,2,Mohammad Hasnain,Devon Conway ,Batsman,Dot,0,Good length(6-8 m),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
16,3,Mohammad Hasnain,Devon Conway ,Batsman,Four,4,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Pull,Square Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
16,4,Mohammad Hasnain,Devon Conway ,Batsman,Double,2,Full length(5-6 m),On middle stump,Unknown,125,Slower Ball,Unknown,Long On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
16,5,Mohammad Hasnain,Devon Conway ,Batsman,Single,1,Back of a length(8-9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Third Man,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
16,6,Mohammad Hasnain,James Neesham ,Bowler,Single,1,Good length(6-8 m),Unknown,Unknown,Unknown,Unknown,Unknown,Square Leg,On the Pads,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
17,1,Faheem Ashraf,James Neesham ,Bowler,Dot,0,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Pull,Unknown,Inside Edge ,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
17,2,Faheem Ashraf,James Neesham ,Bowler,Out,0,Unknown,Wide on the off side,Unknown,134,Googly,Unknown,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
17,3,Faheem Ashraf,Devon Conway ,Bowler,Single,1,Good length(6-8 m),On the stump,Unknown,125,Off Cutter,Pull,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
17,4,Faheem Ashraf,Scott Kuggeleijn ,Bowler,Single,1,Unknown,On the stump,Unknown,Unknown,Unknown,Pull,Mid On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
17,5,Faheem Ashraf,Devon Conway ,Bowler,Single,1,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Mid Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
17,6,Faheem Ashraf,Scott Kuggeleijn ,Bowler,Double,2,Yorker (0-2 m),Outside off,Unknown,145,Slider,Pull,Long On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
18,1,Haris Rauf,Devon Conway ,Batsman,Four,4,Full Toss (<0 m),On middle stump,Unknown,125,Slower Ball,Unknown,Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
18,2,Haris Rauf,Devon Conway ,Batsman,Dot,0,Good length(6-8 m),Outside off,Unknown,Unknown,Unknown,Unknown,Bowler,Inside Edge ,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
